"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"839581","occ","","","93156","Kapes n. sp. serotinus","species","161657","subjective synonym of","Kapes majmesculae","species","161704","Anisian","","247.2","242","28844"
"840200","occ","","","85454","n. gen. Macrophon n. sp. komiensis","species","161138","recombined as","Kapes komiensis","species","161138","Olenekian","","251.2","247.2","31492"
"840353","occ","","","93201","Orenburgia n. sp. concinna","species","161152","","Orenburgia concinna","species","161152","Olenekian","","251.2","247.2","28844"
"840364","occ","","","93205","Tichvinskia n. sp. burtensis","species","161153","","Tichvinskia burtensis","species","161153","Olenekian","","251.2","247.2","31497"
"840381","occ","","","27343","Tichvinskia n. sp. enigmatica","species","161155","recombined as","Orenburgia enigmaticus","species","161155","Olenekian","","251.2","247.2","31386"
"841368","occ","","","93274","Orenburgia n. sp. bruma","species","161230","","Orenburgia bruma","species","161230","Olenekian","","251.2","247.2","31499"
"841373","occ","","","93276","Orenburgia bruma","species","161230","","Orenburgia bruma","species","161230","Olenekian","","251.2","247.2","31491"
"841374","occ","","","93276","n. gen. Lestanshoria n. sp. massiva","species","161469","subjective synonym of","Orenburgia concinna","species","161152","Olenekian","","251.2","247.2","31491"
"841667","occ","","","79946","Kapes majmesculae","species","161712","","Kapes majmesculae","species","161704","Olenekian","","251.2","247.2","28844"
"842017","occ","","","93382","n. gen. Timanophon n. sp. raridentatus","species","161659","","Timanophon raridentatus","species","161659","Olenekian","","251.2","247.2","31491"
"842020","occ","","","93385","Timanophon raridentatus","species","161659","","Timanophon raridentatus","species","161659","Olenekian","","251.2","247.2","31491"
"842964","occ","","","93572","n. gen. Contritosaurus n. sp. simus","species","139929","recombined as","Phaanthosaurus simus","species","139929","Induan","","251.902","251.2","31696"
"842965","occ","","","93573","Contritosaurus simus","species","139929","recombined as","Phaanthosaurus simus","species","139929","Induan","","251.902","251.2","31696"
"842974","occ","","","93577","Contritosaurus simus","species","139929","recombined as","Phaanthosaurus simus","species","139929","Induan","","251.902","251.2","31696"
"842975","occ","","","28396","Contritosaurus simus","species","139929","recombined as","Phaanthosaurus simus","species","139929","Induan","","251.902","251.2","28657"
"843491","occ","","","93720","Procolophon n. sp. brasiliensis","species","162299","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","31834"
"843492","occ","","","93720","Procolophon sp.","genus","37541","","Procolophon","genus","37541","Induan","Olenekian","251.902","247.2","31842"
"843770","occ","","","92310","Teratophon spinigenis","species","139046","","Teratophon spinigenis","species","139041","Anisian","","247.2","242","31896"
"843780","occ","","","13043","Procolophon n. sp. laticeps","species","163368","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","31898"
"843781","occ","","","13043","Procolophon n. sp. griersoni","species","163366","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","31898"
"843782","occ","","","13043","Procolophon n. sp. cuneiceps","species","163367","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","31898"
"845945","occ","","","94112","Procolophon n. sp. pricei","species","162985","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","31974"
"847011","occ","","","94236","n. gen. Insulophon n. sp. morachovskayae","species","163343","subjective synonym of","Orenburgia concinna","species","161152","Olenekian","","251.2","247.2","32050"
"847023","occ","","","94243","Orenburgia sp.","genus","37539","","Orenburgia","genus","37539","Olenekian","","251.2","247.2","32050"
"847947","occ","","","94309","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","32063"
"847948","occ","","","94309","Procolophon n. sp. platyrhinus","species","163510","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","32052"
"847949","occ","","","94309","Procolophon n. sp. sphenorhinus","species","163511","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","32052"
"848381","occ","22873","","94365","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","29615"
"848404","occ","","","94369","Burtensia burtensis","species","161154","recombined as","Tichvinskia burtensis","species","161153","Olenekian","","251.2","247.2","31491"
"873715","occ","","I","96875","Procolophonichnium haarmuehlensis","species","476806","","Procolophonichnium haarmuehlensis","species","476805","Anisian","","247.2","242","33074"
"895255","occ","","","99232","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","34125"
"895260","occ","","","99233","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","34125"
"895264","occ","","","99234","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","34125"
"922663","occ","","","88282","Procolophon cf. trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","27216"
"922675","occ","","","98602","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","27216"
"923197","occ","","","105718","n. gen. Phonodus n. sp. dutoitorum","species","178300","","Phonodus dutoitorum","species","178300","Induan","","251.902","251.2","35293"
"980036","occ","","","117176","Procolophon sp.","genus","37541","","Procolophon","genus","37541","Early Triassic","","251.902","247.2","27216"
"1076313","occ","","","134302","Anomoiodon n. sp. krejcii","species","248292","","Anomoiodon krejcii","species","248292","Aegean","Bithynian","247.2","244.7","43199"
"1080018","occ","","IF","95107","Procolophonichnium sp.","genus","156486","","Procolophonichnium","genus","156486","Spathian","","248.9","247.2","43346"
"1087072","occ","37638","","85560","Eomurruna yurrgensis","species","428554","","Eomurruna yurrgensis","species","428554","Induan","","251.902","251.2","74324"
"1127431","occ","","","27343","Kapes ? sp.","genus","37530","","Kapes","genus","37530","Olenekian","","251.2","247.2","45793"
"1132153","occ","28605","","144094","n. gen. Lasasaurus n. sp. beltanae","species","266668","","Lasasaurus beltanae","species","266668","Induan","Smithian","251.902","248.9","46591"
"1142139","occ","","","145503","Procolophon sp.","genus","37541","","Procolophon","genus","37541","Olenekian","","251.2","247.2","47034"
"1285176","occ","","","80219","n. gen. Spondylolestes n. sp. rubidgei","species","139850","","Spondylolestes rubidgei","species","139850","Wuchiapingian","Changhsingian","259.51","251.902","55690"
